date,positive_1,deaths_1,positive_2,deaths_2,tests_2
20200318,19,0,19,0,19
20200319,25,0,25,0,25
20200320,46,0,46,0,46
20200321,82,3,82,3,82
20200322,110,3,110,3,110
20200323,161,6,161,6,161
20200324,226,6,226,6,226
20200325,293,6,293,6,293
20200326,483,8,483,8,483
20200327,584,10,584,10,584
20200328,676,10,676,10,676
20200329,804,12,804,12,804
20200330,964,17,964,17,964
20200331,1117,21,1117,21,1117
20200401,1304,24,1304,24,1304
20200402,1429,33,1429,33,7055
20200403,1570,34,1570,34,7568
20200404,1760,37,1760,37,8496
20200405,1956,41,1956,41,9503
20200406,2141,48,2141,48,10234
20200407,2290,58,2290,58,10963
20200408,2415,81,2415,81,11356
20200409,2600,107,2600,107,12185
20200410,2742,118,2742,118,14004
20200411,2887,123,2887,123,15176
20200412,3012,123,3012,123,15482
20200413,3063,141,3063,141,15046
20200414,3204,155,3204,155,15993
20200415,3320,164,3320,164,16604
20200416,3518,182,3518,182,17571
20200417,3624,190,3624,190,18136
20200418,3889,192,3889,192,19996
20200419,4052,192,4052,192,19206
20200420,4176,206,4176,206,19705
20200421,4263,214,4263,214,19636
20200422,4408,228,4408,228,20355
20200423,4537,238,4537,238,21195
20200424,4727,255,4727,255,22107
20200425,4796,259,4796,259,22373
20200426,4926,267,4926,267,22945
20200427,5080,282,5080,282,22811
